GROUP,TEAM,ISOALPHA3,STICKER_NUM,STICKER_CODE,LATENGO
GROUP E,Cote de Ivore,CIV,13,CIV13,FALSE
GROUP E,Cote de Ivore,CIV,14,CIV14,TRUE
GROUP E,Cote de Ivore,CIV,15,CIV15,TRUE
GROUP E,Cote de Ivore,CIV,16,CIV16,FALSE
GROUP E,Cote de Ivore,CIV,17,CIV17,TRUE
GROUP E,Cote de Ivore,CIV,18,CIV18,TRUE
GROUP E,Cote de Ivore,CIV,19,CIV19,TRUE
GROUP E,Cote de Ivore,CIV,20,CIV20,TRUE
GROUP E,Curaçao,CUW,1,CUW1,TRUE
GROUP E,Curaçao,CUW,2,CUW2,TRUE
GROUP E,Curaçao,CUW,3,CUW3,FALSE
GROUP E,Curaçao,CUW,4,CUW4,TRUE
GROUP E,Curaçao,CUW,5,CUW5,FALSE
GROUP E,Curaçao,CUW,6,CUW6,TRUE
GROUP E,Curaçao,CUW,7,CUW7,TRUE
GROUP E,Curaçao,CUW,8,CUW8,TRUE
GROUP E,Curaçao,CUW,9,CUW9,FALSE
GROUP E,Curaçao,CUW,10,CUW10,TRUE
GROUP E,Curaçao,CUW,11,CUW11,TRUE
GROUP E,Curaçao,CUW,12,CUW12,FALSE
GROUP E,Curaçao,CUW,13,CUW13,TRUE
GROUP E,Curaçao,CUW,14,CUW14,TRUE
GROUP E,Curaçao,CUW,15,CUW15,TRUE
GROUP E,Curaçao,CUW,16,CUW16,TRUE
GROUP E,Curaçao,CUW,17,CUW17,TRUE
GROUP E,Curaçao,CUW,18,CUW18,TRUE
GROUP E,Curaçao,CUW,19,CUW19,TRUE
GROUP E,Curaçao,CUW,20,CUW20,TRUE
GROUP E,Ecuador,ECU,1,ECU1,TRUE
GROUP E,Ecuador,ECU,2,ECU2,FALSE
GROUP E,Ecuador,ECU,3,ECU3,TRUE
GROUP E,Ecuador,ECU,4,ECU4,TRUE
GROUP E,Ecuador,ECU,5,ECU5,TRUE
GROUP E,Ecuador,ECU,6,ECU6,TRUE
GROUP E,Ecuador,ECU,7,ECU7,TRUE
GROUP E,Ecuador,ECU,8,ECU8,TRUE
GROUP E,Ecuador,ECU,9,ECU9,TRUE
GROUP E,Ecuador,ECU,10,ECU10,TRUE
GROUP E,Ecuador,ECU,11,ECU11,FALSE
